"","date","ni","Sector","wkday","week"
"175",2021-01-20,18,"J","Wed",3
"176",2021-01-21,9," C","Thu",3
"177",2021-01-21,42," F","Thu",3
"178",2021-01-21,156," G","Thu",3
"179",2021-01-21,27," I","Thu",3
"180",2021-01-21,34," K","Thu",3
"181",2021-01-21,21," L","Thu",3
"182",2021-01-21,24," M","Thu",3
"183",2021-01-21,22," N","Thu",3
"184",2021-01-21,13," P","Thu",3
"185",2021-01-21,7," Q","Thu",3
"186",2021-01-21,24," R","Thu",3
"187",2021-01-21,6," S","Thu",3
"188",2021-01-21,2," T","Thu",3
"189",2021-01-21,11,"J","Thu",3
"190",2021-01-22,6," C","Fri",4
"191",2021-01-22,38," F","Fri",4
"192",2021-01-22,256," G","Fri",4
"193",2021-01-22,21," L","Fri",4
"194",2021-01-22,13," M","Fri",4
"195",2021-01-22,22," N","Fri",4
"196",2021-01-22,28," S","Fri",4
"197",2021-01-23,0,NA,NA,NA
"198",2021-01-24,0,NA,NA,NA
"199",2021-01-25,66," A","Mon",4
"200",2021-01-25,33," C","Mon",4
"201",2021-01-25,49," F","Mon",4
"202",2021-01-25,364," G","Mon",4
"203",2021-01-25,46," H","Mon",4
"204",2021-01-25,27," I","Mon",4
"205",2021-01-25,54," K","Mon",4
"206",2021-01-25,42," L","Mon",4
"207",2021-01-25,51," M","Mon",4
"208",2021-01-25,3," N","Mon",4
"209",2021-01-25,9," O","Mon",4
"210",2021-01-25,13," P","Mon",4
"211",2021-01-25,29," Q","Mon",4
"212",2021-01-25,10," S","Mon",4
"213",2021-01-25,1," U","Mon",4
"214",2021-01-25,18,"J","Mon",4
"215",2021-01-26,33," A","Tue",4
"216",2021-01-26,57," C","Tue",4
"217",2021-01-26,59," F","Tue",4
"218",2021-01-26,164," G","Tue",4
"219",2021-01-26,26," H","Tue",4
"220",2021-01-26,18," I","Tue",4
"221",2021-01-26,27," K","Tue",4
"222",2021-01-26,21," L","Tue",4
"223",2021-01-26,22," M","Tue",4
"224",2021-01-26,11," N","Tue",4
"225",2021-01-26,6," Q","Tue",4
"226",2021-01-26,4," R","Tue",4
"227",2021-01-26,6," S","Tue",4
"228",2021-01-26,1," U","Tue",4
"229",2021-01-27,33," A","Wed",4
"230",2021-01-27,28," C","Wed",4
"231",2021-01-27,42," F","Wed",4
"232",2021-01-27,508," G","Wed",4
"233",2021-01-27,10," H","Wed",4
"234",2021-01-27,9," I","Wed",4
"235",2021-01-27,54," K","Wed",4
"236",2021-01-27,14," L","Wed",4
"237",2021-01-27,27," N","Wed",4
"238",2021-01-27,26," P","Wed",4
"239",2021-01-27,7," Q","Wed",4
"240",2021-01-27,5," S","Wed",4
"241",2021-01-27,4," T","Wed",4
"242",2021-01-27,6,"J","Wed",4
"243",2021-01-28,12," C","Thu",4
"244",2021-01-28,17," F","Thu",4
"245",2021-01-28,212," G","Thu",4
"246",2021-01-28,36," I","Thu",4
"247",2021-01-28,27," K","Thu",4
"248",2021-01-28,28," L","Thu",4
"249",2021-01-28,26," M","Thu",4
"250",2021-01-28,27," N","Thu",4
"251",2021-01-28,26," P","Thu",4
"252",2021-01-28,4," R","Thu",4
"253",2021-01-28,27,"J","Thu",4
"254",2021-01-29,18," C","Fri",5
"255",2021-01-29,17," F","Fri",5
"256",2021-01-29,300," G","Fri",5
"257",2021-01-29,7," L","Fri",5
"258",2021-01-29,32," M","Fri",5
"259",2021-01-29,22," N","Fri",5
"260",2021-01-29,7," Q","Fri",5
"261",2021-01-29,8," R","Fri",5
"262",2021-01-29,6,"J","Fri",5
"263",2021-01-30,4," H","Sat",5
"264",2021-01-30,11," N","Sat",5
"265",2021-01-31,0,NA,NA,NA
